File Name,Method Found,Calling Method,Line Number,Parent Directory,Referencing Files
rolloff_offer_builder.rb,price_to_compare,Unknown,57,/Users/mpreston/dev/garcon/garcon/offers/lib,[]
rolloff_offer_builder.rb,price_to_compare,Unknown,147,/Users/mpreston/dev/garcon/garcon/offers/lib,[]
rolloff_offer_builder.rb,price_to_compare,Unknown,148,/Users/mpreston/dev/garcon/garcon/offers/lib,[]
rolloff_offer_builder.rb,price_to_compare,Unknown,149,/Users/mpreston/dev/garcon/garcon/offers/lib,[]
rolloff_offer_builder.rb,price_to_compare,Unknown,150,/Users/mpreston/dev/garcon/garcon/offers/lib,[]
rolloff_offer_builder.rb,price_to_compare,Unknown,151,/Users/mpreston/dev/garcon/garcon/offers/lib,[]
winback_service.rb,price_to_compare,Unknown,580,/Users/mpreston/dev/garcon/garcon/winbacks/lib,[]
market.rb,price_to_compare,price_to_compare,149,/Users/mpreston/dev/garcon/garcon/products/models,[]
market.rb,price_to_compare,Unknown,150,/Users/mpreston/dev/garcon/garcon/products/models,[]
market.rb,price_to_compare,Unknown,151,/Users/mpreston/dev/garcon/garcon/products/models,[]
sales_app_service.rb,price_to_compare,Unknown,128,/Users/mpreston/dev/garcon/garcon/sales/lib,[]
sales_app_service.rb,price_to_compare,Unknown,130,/Users/mpreston/dev/garcon/garcon/sales/lib,[]
ptc_rebate_accrual_policy.rb,price_to_compare,Unknown,10,/Users/mpreston/dev/garcon/garcon/rewards/lib/loyalty_programs/accrual_policies,[]
rolloff_offer_builder_spec.rb,price_to_compare,Unknown,19,/Users/mpreston/dev/garcon/garcon/spec/offers,[]
rolloff_offer_builder_spec.rb,price_to_compare,Unknown,111,/Users/mpreston/dev/garcon/garcon/spec/offers,[]
rolloff_offer_builder_spec.rb,price_to_compare,Unknown,313,/Users/mpreston/dev/garcon/garcon/spec/offers,[]
rolloff_offer_builder_spec.rb,price_to_compare,Unknown,406,/Users/mpreston/dev/garcon/garcon/spec/offers,[]
rolloff_offer_builder_spec.rb,price_to_compare,Unknown,488,/Users/mpreston/dev/garcon/garcon/spec/offers,[]
market_spec.rb,price_to_compare,Unknown,8,/Users/mpreston/dev/garcon/garcon/spec/product/models,[]
market_spec.rb,price_to_compare,Unknown,9,/Users/mpreston/dev/garcon/garcon/spec/product/models,[]
market_spec.rb,price_to_compare,Unknown,10,/Users/mpreston/dev/garcon/garcon/spec/product/models,[]
market_spec.rb,price_to_compare,Unknown,33,/Users/mpreston/dev/garcon/garcon/spec/product/models,[]
market_spec.rb,price_to_compare,Unknown,35,/Users/mpreston/dev/garcon/garcon/spec/product/models,[]
market_spec.rb,price_to_compare,Unknown,41,/Users/mpreston/dev/garcon/garcon/spec/product/models,[]
market_spec.rb,price_to_compare,Unknown,44,/Users/mpreston/dev/garcon/garcon/spec/product/models,[]
market_spec.rb,price_to_compare,Unknown,52,/Users/mpreston/dev/garcon/garcon/spec/product/models,[]
market_spec.rb,price_to_compare,Unknown,56,/Users/mpreston/dev/garcon/garcon/spec/product/models,[]
energy_forecast_service_spec.rb,price_to_compare,Unknown,93,/Users/mpreston/dev/garcon/garcon/spec/accounts/lib,[]
energy_forecast_service_spec.rb,price_to_compare,Unknown,158,/Users/mpreston/dev/garcon/garcon/spec/accounts/lib,[]
price_to_compare.rb,price_to_compare,Unknown,2,/Users/mpreston/dev/garcon/garcon/spec/factories,[]
price_to_compare_spec.rb,price_to_compare,Unknown,28,/Users/mpreston/dev/garcon/garcon/spec/pricing/models,[]
pricing_service_spec.rb,price_to_compare,Unknown,6,/Users/mpreston/dev/garcon/garcon/spec/pricing/lib,[]
pricing_service_spec.rb,price_to_compare,Unknown,15,/Users/mpreston/dev/garcon/garcon/spec/pricing/lib,[]
invoice.rb,price_to_compare,Unknown,89,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
invoice.rb,price_to_compare,Unknown,124,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_smr.rb,price_to_compare,Unknown,89,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_smr.rb,price_to_compare,Unknown,90,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_smr.rb,price_to_compare,Unknown,96,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_smr.rb,price_to_compare,Unknown,103,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_ptc.rb,price_to_compare,calculate_ptc_based_subscription_month,8,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_ptc.rb,price_to_compare,Unknown,9,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_ptc.rb,price_to_compare,Unknown,10,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_ptc.rb,price_to_compare,Unknown,23,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_ptc.rb,price_to_compare,Unknown,24,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_ptc.rb,price_to_compare,Unknown,30,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_ptc.rb,price_to_compare,Unknown,31,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_ptc.rb,price_to_compare,Unknown,35,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
offer_forecasted_revenue_ptc.rb,price_to_compare,Unknown,39,/Users/mpreston/dev/garcon/garcon/accounts/models,[]
invoice_transaction_service.rb,price_to_compare,Unknown,90,/Users/mpreston/dev/garcon/garcon/accounts/lib,[]
0653_alter_address_attributes.rb,price_to_compare,Unknown,187,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0653_alter_address_attributes.rb,price_to_compare,Unknown,188,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0653_alter_address_attributes.rb,price_to_compare,Unknown,191,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0653_alter_address_attributes.rb,price_to_compare,Unknown,194,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0653_alter_address_attributes.rb,price_to_compare,Unknown,248,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0653_alter_address_attributes.rb,price_to_compare,Unknown,249,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0653_alter_address_attributes.rb,price_to_compare,Unknown,252,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0653_alter_address_attributes.rb,price_to_compare,Unknown,255,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0653_alter_address_attributes.rb,price_to_compare,Unknown,295,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0653_alter_address_attributes.rb,price_to_compare,Unknown,298,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1520_alter_ptc.rb,price_to_compare,Unknown,4,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1520_alter_ptc.rb,price_to_compare,Unknown,8,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1520_alter_ptc.rb,price_to_compare,Unknown,14,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1520_alter_ptc.rb,price_to_compare,Unknown,20,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1520_alter_ptc.rb,price_to_compare,Unknown,23,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1520_alter_ptc.rb,price_to_compare,Unknown,24,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1520_alter_ptc.rb,price_to_compare,Unknown,30,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1520_alter_ptc.rb,price_to_compare,Unknown,37,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1520_alter_ptc.rb,price_to_compare,Unknown,43,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0598_alter_notes_and_comments.rb,price_to_compare,Unknown,18,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0598_alter_notes_and_comments.rb,price_to_compare,Unknown,41,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0210_alter_price_to_compares.rb,price_to_compare,Unknown,3,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0210_alter_price_to_compares.rb,price_to_compare,Unknown,9,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0128_create_ctg.rb,price_to_compare,Unknown,60,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0992_remove_subscriptions.rb,price_to_compare,Unknown,29,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0992_remove_subscriptions.rb,price_to_compare,Unknown,431,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0992_remove_subscriptions.rb,price_to_compare,Unknown,432,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0992_remove_subscriptions.rb,price_to_compare,Unknown,435,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0992_remove_subscriptions.rb,price_to_compare,Unknown,438,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0211_alter_price_to_compares.rb,price_to_compare,Unknown,3,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0211_alter_price_to_compares.rb,price_to_compare,Unknown,6,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0211_alter_price_to_compares.rb,price_to_compare,Unknown,7,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0211_alter_price_to_compares.rb,price_to_compare,Unknown,11,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1217_alter_price_to_compares.rb,price_to_compare,Unknown,3,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1217_alter_price_to_compares.rb,price_to_compare,Unknown,5,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
1217_alter_price_to_compares.rb,price_to_compare,Unknown,11,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0193_create_competitive_offers.rb,price_to_compare,Unknown,23,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0193_create_competitive_offers.rb,price_to_compare,Unknown,24,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
0193_create_competitive_offers.rb,price_to_compare,Unknown,41,/Users/mpreston/dev/garcon/garcon/db/migrate,[]
